sex,length,diameter,height,wholeWeight,shuckedWeight,visceraWeight,shellWeight,rings,ageCategory
M,0.4550,0.3650,0.0950,0.5140,0.2245,0.1010,0.1500,15,10-15
M,0.3500,0.2650,0.0900,0.2255,0.0995,0.0485,0.0700,7,5-10
F,0.5300,0.4200,0.1350,0.6770,0.2565,0.1415,0.2100,9,5-10
M,0.4400,0.3650,0.1250,0.5160,0.2155,0.1140,0.1550,10,5-10
I,0.3300,0.2550,0.0800,0.2050,0.0895,0.0395,0.0550,7,5-10
I,0.4250,0.3000,0.0950,0.3515,0.1410,0.0775,0.1200,8,5-10
F,0.5300,,0.1500,0.7775,0.2370,0.1415,0.3300,20,15-20
F,0.5450,0.4250,0.1250,0.7680,0.2940,0.1495,0.2600,16,15-20
M,0.4750,0.3700,0.1250,0.5095,0.2165,0.1125,0.1650,9,5-10
F,0.5500,0.4400,0.1500,0.8945,0.3145,0.1510,0.3200,19,15-20
F,0.5250,0.3800,0.1400,0.6065,0.1940,0.1475,0.2100,14,10-15
M,0.4300,0.3500,0.1100,0.4060,0.1675,0.0810,0.1350,10,5-10
M,0.4900,0.3800,0.1350,0.5415,0.2175,0.0950,0.1900,11,10-15
F,0.5350,0.4050,0.1450,0.6845,0.2725,0.1710,0.2050,10,5-10
F,0.4700,0.3550,0.1000,0.4755,0.1675,0.0805,0.1850,10,5-10
M,,0.4000,0.1300,0.6645,0.2580,0.1330,0.2400,12,10-15
I,0.3550,0.2800,0.0850,0.2905,0.0950,0.0395,0.1150,7,5-10
F,0.4400,0.3400,0.1000,0.4510,0.1880,0.0870,0.1300,10,5-10
M,0.3650,0.2950,0.0800,0.2555,0.0970,0.0430,0.1000,7,5-10
M,0.4500,0.3200,0.1000,0.3810,0.1705,0.0750,0.1150,9,5-10
M,0.3550,0.2800,0.0950,0.2455,0.0955,0.0620,0.0750,11,10-15
I,0.3800,0.2750,0.1000,0.2255,0.0800,0.0490,0.0850,10,5-10
F,0.5650,0.4400,0.1550,0.9395,0.4275,0.2140,0.2700,12,10-15
F,0.5500,,0.1350,0.7635,0.3180,0.2100,0.2000,9,5-10
F,0.6150,0.4800,0.1650,1.1615,0.5130,0.3010,0.3050,10,5-10
F,0.5600,0.4400,0.1400,0.9285,0.3825,0.1880,0.3000,11,10-15
F,0.5800,0.4500,0.1850,0.9955,0.3945,0.2720,0.2850,11,10-15
M,0.5900,0.4450,0.1400,0.9310,0.3560,0.2340,0.2800,12,10-15
M,0.6050,0.4750,0.1800,0.9365,0.3940,0.2190,0.2950,15,10-15
M,0.5750,0.4250,0.1400,0.8635,0.3930,0.2270,0.2000,11,10-15
M,0.5800,0.4700,0.1650,0.9975,0.3935,0.2420,0.3300,10,5-10
F,0.6800,0.5600,0.1650,1.6390,0.6055,0.2805,0.4600,15,10-15
M,0.6650,0.5250,0.1650,1.3380,0.5515,0.3575,0.3500,18,15-20
F,0.6800,0.5500,0.1750,1.7980,0.8150,0.3925,0.4550,19,15-20
F,0.7050,0.5500,0.2000,1.7095,0.6330,0.4115,0.4900,13,10-15
M,0.4650,0.3550,0.1050,0.4795,0.2270,0.1240,0.1250,8,5-10
F,0.5400,0.4750,0.1550,1.2170,0.5305,0.3075,0.3400,16,15-20
F,0.4500,0.3550,0.1050,0.5225,0.2370,0.1165,0.1450,8,5-10
F,0.5750,0.4450,0.1350,0.8830,0.3810,0.2035,0.2600,11,10-15
M,0.3550,0.2900,0.0900,0.3275,0.1340,0.0860,0.0900,9,5-10
F,0.4500,0.3350,0.1050,0.4250,0.1865,0.0910,0.1150,9,5-10
F,0.5500,0.4250,0.1350,0.8515,0.3620,0.1960,0.2700,14,10-15
I,0.2400,0.1750,0.0450,0.0700,0.0315,0.0235,0.0200,5,<5
I,0.2050,0.1500,0.0550,0.0420,0.0255,0.0150,0.0120,5,<5
I,0.2100,0.1500,0.0500,0.0420,0.0175,0.0125,0.0150,4,<5
I,0.3900,0.2950,0.0950,0.2030,0.0875,0.0450,0.0750,7,5-10
M,0.4700,0.3700,0.1200,0.5795,0.2930,0.2270,0.1400,9,5-10
F,0.4600,0.3750,0.1200,0.4605,0.1775,0.1100,0.1500,7,5-10
I,0.3250,0.2450,0.0700,0.1610,0.0755,0.0255,0.0450,6,5-10
F,0.5250,0.4250,0.1600,0.8355,0.3545,0.2135,0.2450,9,5-10
I,0.5200,0.4100,0.1200,0.5950,0.2385,0.1110,0.1900,8,5-10
M,0.4000,0.3200,0.0950,0.3030,0.1335,0.0600,0.1000,7,5-10
M,0.4850,0.3600,0.1300,0.5415,0.2595,0.0960,0.1600,10,5-10
F,0.4700,0.3600,0.1200,0.4775,0.2105,0.1055,0.1500,10,5-10
M,0.4050,0.3100,0.1000,0.3850,0.1730,0.0915,0.1100,7,5-10
F,,0.4000,0.1400,0.6615,0.2565,0.1755,0.2200,8,5-10
