,intercolumnarDistance,upperMargin,lowerMargin,exploitation,rowNumber,modularRatio,interlinearSpacing,weight,peakNumber,modularRatioInterlinearSpacing,class
0,0.266,-0.166,0.321,0.483,0.172,0.273,0.371,0.930,0.251,0.159,A
1,0.130,0.871,-3.211,0.062,0.262,1.436,1.466,0.636,0.282,0.516,A
2,-0.117,0.070,0.068,-0.783,0.262,0.439,-0.082,-0.888,-0.123,0.583,A
3,0.032,0.298,-3.211,-0.584,-0.721,-0.308,0.711,1.052,0.594,-0.534,A
4,0.229,0.808,-0.052,0.083,0.262,0.149,0.635,0.051,0.033,-0.087,F
5,0.118,-0.221,-3.211,-1.623,0.262,-0.350,0.258,-0.386,-0.248,-0.331,A
6,0.390,-0.221,-3.211,-2.624,0.262,-0.765,0.484,-0.598,-0.372,-0.810,A
7,0.019,-0.040,0.289,-0.043,0.262,-1.014,0.069,0.891,0.095,-0.842,F
8,0.501,0.141,0.389,-0.637,0.262,-0.682,0.296,0.931,0.501,-0.642,H
9,-0.252,0.070,0.246,0.524,0.262,-1.222,0.900,1.373,0.625,-1.401,E
10,-0.043,-2.395,-3.211,-1.128,-0.721,0.398,0.258,-1.167,-0.061,0.346,A
11,-3.499,-0.566,0.140,-5.440,0.977,-0.848,-1.177,-2.008,0.438,0.010,I
12,0.044,-0.173,,-0.775,0.172,-0.391,0.333,-1.808,-0.996,-0.411,F
13,0.155,0.337,0.068,0.022,0.262,0.024,0.031,0.079,0.314,0.126,A
14,0.291,-0.189,0.079,-0.086,0.977,-1.471,-0.950,-0.274,0.968,-0.725,I
15,0.143,-0.244,-3.207,0.166,0.887,-2.094,-0.875,-2.694,-3.335,-1.399,I
16,-0.005,-0.323,0.100,-0.519,0.262,-0.308,0.069,-0.574,0.282,-0.183,A
17,,-0.315,0.399,0.771,0.709,0.564,-1.328,0.004,0.750,1.649,Y
18,-0.092,0.298,0.079,0.196,0.262,-0.183,0.220,0.305,-0.279,-0.163,F
19,-0.092,-0.221,0.275,0.567,-0.185,0.730,0.031,-0.397,-0.404,0.771,A
20,-0.005,0.478,0.029,-0.248,0.172,1.062,0.333,-0.670,0.095,0.902,A
21,0.439,0.196,0.143,-0.809,0.262,-1.138,-0.233,-0.088,-0.279,-0.802,F
22,0.365,-0.048,-0.038,0.328,0.262,0.439,0.484,-0.964,-0.934,0.232,A
23,-0.055,-0.221,0.467,-0.217,0.172,-0.931,0.447,0.635,0.314,-0.943,D
24,0.291,0.078,0.118,0.276,0.262,-0.433,0.031,0.677,-0.092,-0.294,F
25,0.106,-0.087,0.367,1.523,0.262,1.187,0.635,0.575,0.657,0.818,A
26,-0.030,0.023,0.157,-0.771,0.262,1.062,,-1.217,-0.185,0.982,H
27,-0.252,-0.009,-2.044,0.343,0.351,-0.308,0.220,1.240,2.091,-0.295,X
28,0.291,-0.189,0.079,-0.086,0.977,-0.931,-1.101,0.496,1.686,-0.088,I
